date,price,bedrooms,bathrooms,qm_living,qm_lot,floors,waterfront,view,condition,grade,qm_above_ground,qm_basement,yr_built,yr_renovated,zipcode,yrs_since_renovation,house_age,yrs_built_ren,lat,long,qm_living15,qm_lot15,renovated
5,885000.0,4,2.5,262.915,464.515,2.0,0.0,0.0,3,9,862.584,0.0,1995,0.0,98105,0.0,20,1995.0,47.66,-122.29,181.161,464.515,0
8,292500.0,4,2.5,209.032,417.599,2.0,0.0,0.0,3,7,685.8,0.0,2008,0.0,98042,0.0,7,2008.0,47.366,-122.114,209.032,418.064,0
4,301000.0,3,2.5,224.825,441.289,2.0,0.0,0.0,3,8,737.616,0.0,2003,0.0,98042,0.0,12,2003.0,47.366,-122.122,249.909,441.289,0
2,430000.0,4,3.0,171.871,926.8,2.0,0.0,0.0,3,8,563.88,0.0,1991,0.0,98059,0.0,24,1991.0,47.506,-122.149,210.89,793.577,0
8,289000.0,3,1.75,117.058,780.385,1.0,0.0,0.0,3,7,384.048,0.0,1954,0.0,98148,0.0,61,1954.0,47.437,-122.335,119.845,812.901,0
10,505000.0,3,1.75,234.023,807.327,2.0,0.0,0.0,5,8,767.791,0.0,1973,0.0,98166,0.0,42,1973.0,47.443,-122.344,232.258,882.578,0
12,549000.0,3,1.75,143.071,96.991,3.0,0.0,0.0,3,8,469.392,0.0,2014,0.0,98115,0.0,1,2014.0,47.676,-122.32,146.787,287.07,0
6,425000.0,3,2.25,154.219,557.418,1.0,0.0,0.0,3,7,338.328,167.64,1979,0.0,98122,0.0,36,1979.0,47.611,-122.297,133.78,379.044,0
11,317625.0,3,2.75,257.341,353.868,1.5,0.0,0.0,5,7,539.496,304.8,1925,0.0,98144,0.0,90,1925.0,47.575,-122.304,133.78,371.612,0
9,975000.0,4,2.5,252.696,1026.485,2.0,0.0,0.0,3,10,829.056,0.0,1989,0.0,98004,0.0,26,1989.0,47.582,-122.192,255.483,1026.485,0
10,287000.0,4,2.5,208.103,431.813,2.0,0.0,0.0,3,7,682.752,0.0,2005,0.0,98001,0.0,10,2005.0,47.338,-122.257,206.338,423.359,0
8,204000.0,3,1.0,92.903,1121.339,1.0,0.0,0.0,4,7,304.8,0.0,1968,0.0,98042,0.0,47,1968.0,47.362,-122.11,93.832,1173.829,0
6,1330000.0,5,2.25,297.29,1872.739,1.0,0.0,0.0,3,8,487.68,487.68,1965,0.0,98004,0.0,50,1965.0,47.63,-122.215,314.941,1872.739,0
1,325000.0,3,2.0,117.058,521.372,1.0,0.0,0.0,4,7,384.048,0.0,1972,0.0,98034,0.0,43,1972.0,47.736,-122.179,152.361,440.825,0
6,571000.0,4,2.0,255.483,725.294,1.5,0.0,0.0,5,7,685.8,152.4,1916,0.0,98125,0.0,99,1916.0,47.717,-122.287,140.284,725.294,0
7,360000.0,4,2.5,221.109,464.515,2.0,0.0,0.0,3,8,725.424,0.0,2005,0.0,98038,0.0,10,2005.0,47.361,-122.036,224.825,464.515,0
3,349000.0,3,1.75,166.296,4694.296,1.0,0.0,0.0,5,7,332.232,213.36,1965,0.0,98042,0.0,50,1965.0,47.351,-122.073,180.232,4694.296,0
11,832500.0,4,4.0,318.657,3261.081,2.0,0.0,0.0,4,10,728.472,316.992,1986,0.0,98075,0.0,29,1986.0,47.582,-121.987,301.006,3253.463,0
10,380000.0,4,1.75,163.509,678.192,1.0,0.0,0.0,3,7,268.224,268.224,1956,0.0,98008,0.0,59,1956.0,47.603,-122.125,156.077,696.772,0
4,480000.0,3,1.0,96.619,470.089,1.0,0.0,0.0,3,7,316.992,0.0,1941,0.0,98116,0.0,74,1941.0,47.564,-122.394,82.684,470.089,0
6,410000.0,3,1.0,130.993,470.089,1.0,0.0,0.0,4,7,277.368,152.4,1956,0.0,98133,0.0,59,1956.0,47.707,-122.34,104.98,528.897,0
12,390000.0,3,2.5,218.322,473.805,2.0,0.0,0.0,3,8,716.28,0.0,2003,0.0,98038,0.0,12,2003.0,47.351,-122.008,218.322,498.239,0
12,360000.0,4,2.5,176.516,547.106,2.0,0.0,0.0,3,7,579.12,0.0,1992,0.0,98038,0.0,23,1992.0,47.349,-122.031,173.729,595.044,0
10,355000.0,2,1.0,187.664,624.308,1.0,0.0,0.0,3,7,307.848,307.848,1948,0.0,98118,0.0,67,1948.0,47.547,-122.291,159.793,624.308,0
1,356000.0,3,1.5,156.077,809.371,1.0,0.0,0.0,3,8,512.064,0.0,1964,0.0,98059,0.0,51,1964.0,47.481,-122.149,171.871,817.268,0
6,315000.0,3,1.0,89.187,616.319,1.0,0.0,0.0,3,6,292.608,0.0,1952,0.0,98125,0.0,63,1952.0,47.726,-122.31,145.858,669.18,0
11,940000.0,3,1.5,198.812,334.451,2.0,0.0,0.0,3,9,579.12,73.152,1925,0.0,98119,0.0,90,1925.0,47.634,-122.365,187.664,445.934,0
11,305000.0,5,2.25,247.122,780.385,1.5,0.0,0.0,5,7,810.768,0.0,1961,0.0,98092,0.0,54,1961.0,47.291,-122.189,147.716,758.553,0
6,461000.0,3,3.25,257.341,583.245,2.0,0.0,0.0,3,9,603.504,240.792,2006,0.0,98056,0.0,9,2006.0,47.523,-122.199,176.516,682.744,0
5,215000.0,2,2.25,149.574,189.522,2.0,0.0,0.0,4,7,490.728,0.0,1979,0.0,98056,0.0,36,1979.0,47.518,-122.194,181.161,188.129,0
9,335000.0,2,1.75,95.69,99.035,2.0,0.0,0.0,3,7,233.172,80.772,2006,0.0,98136,0.0,9,2006.0,47.539,-122.387,95.69,102.751,0
5,243500.0,4,2.5,183.948,687.761,2.0,0.0,0.0,3,7,603.504,0.0,1988,0.0,98023,0.0,27,1988.0,47.29,-122.372,183.948,697.702,0
3,1100000.0,5,2.75,327.019,590.213,2.0,0.0,0.0,4,10,1072.896,0.0,2001,0.0,98199,0.0,14,2001.0,47.651,-122.391,234.116,580.644,0
2,153000.0,3,1.0,111.484,975.482,1.0,0.0,0.0,3,7,365.76,0.0,1962,0.0,98023,0.0,53,1962.0,47.322,-122.351,125.419,975.482,0
7,430000.0,3,1.5,146.787,464.515,1.0,0.0,0.0,3,8,393.192,88.392,1939,0.0,98117,0.0,76,1939.0,47.687,-122.386,145.858,418.064,0
12,700000.0,3,1.5,146.787,464.515,1.0,0.0,0.0,3,8,393.192,88.392,1939,0.0,98117,0.0,76,1939.0,47.687,-122.386,145.858,418.064,0
9,905000.0,4,2.5,306.58,952.256,1.0,0.0,0.0,3,7,728.472,277.368,1946,1991.0,98040,24.0,69,-45.0,47.587,-122.249,181.161,561.599,1
3,247500.0,3,1.75,182.09,1456.812,1.0,0.0,0.0,3,7,597.408,0.0,1967,0.0,98032,0.0,48,1967.0,47.358,-122.277,162.58,1450.773,0
9,199000.0,4,1.5,107.767,594.579,1.0,0.0,0.0,4,7,353.568,0.0,1975,0.0,98023,0.0,40,1975.0,47.304,-122.378,107.767,594.579,0
5,437500.0,3,2.5,215.535,3423.197,2.0,0.0,2.0,3,9,707.136,0.0,1992,0.0,98045,0.0,23,1992.0,47.484,-121.714,236.903,3257.644,0
6,850830.0,3,2.5,192.309,1230.129,1.5,0.0,0.0,5,9,387.096,243.84,1910,0.0,98102,0.0,105,1910.0,47.642,-122.315,204.387,418.064,0
10,555000.0,3,2.0,183.948,323.117,1.5,0.0,0.0,4,7,438.912,164.592,1929,0.0,98117,0.0,86,1929.0,47.678,-122.372,149.574,323.117,0
12,699950.0,3,2.25,203.458,9995.712,2.0,0.0,0.0,4,8,667.512,0.0,1983,0.0,98077,0.0,32,1983.0,47.773,-122.08,238.761,4438.627,0
10,1090000.0,3,2.5,271.277,753.722,2.0,0.0,0.0,3,8,890.016,0.0,1950,2010.0,98004,5.0,65,-60.0,47.581,-122.196,220.18,753.722,1
9,290000.0,3,1.0,112.413,3151.177,1.0,0.0,0.0,3,7,368.808,0.0,1954,0.0,98058,0.0,61,1954.0,47.438,-122.184,152.361,1385.184,0
4,375000.0,3,2.5,217.393,929.495,1.0,0.0,0.0,4,8,445.008,268.224,1978,0.0,98058,0.0,37,1978.0,47.443,-122.133,209.032,758.274,0
5,460000.0,3,1.0,155.148,372.077,1.5,0.0,0.0,4,7,356.616,152.4,1939,0.0,98117,0.0,76,1939.0,47.688,-122.38,115.2,372.077,0
7,188500.0,2,1.75,115.2,231.607,1.0,0.0,0.0,4,8,377.952,0.0,1985,0.0,98198,0.0,30,1985.0,47.381,-122.322,117.987,461.356,0
3,680000.0,4,2.5,291.715,2604.721,2.0,0.0,0.0,4,10,957.072,0.0,1991,0.0,98077,0.0,24,1991.0,47.73,-122.082,277.78,3251.698,0
8,470000.0,5,1.75,188.593,1146.609,2.0,0.0,0.0,4,7,618.744,0.0,1942,0.0,98052,0.0,73,1942.0,47.642,-122.109,232.258,876.354,0
7,597750.0,4,2.5,214.606,894.098,2.0,0.0,0.0,3,8,704.088,0.0,1984,0.0,98027,0.0,31,1984.0,47.539,-122.053,180.232,895.213,0
3,570000.0,3,1.75,117.058,309.181,1.0,0.0,0.0,5,6,213.36,170.688,1905,0.0,98103,0.0,110,1905.0,47.682,-122.349,128.206,328.505,0
11,329950.0,3,1.75,193.238,554.538,1.0,0.0,2.0,3,7,329.184,304.8,1971,0.0,98108,0.0,44,1971.0,47.547,-122.295,194.167,510.966,0
10,480000.0,4,2.5,300.077,1502.334,2.0,0.0,0.0,3,9,768.096,216.408,2001,0.0,98001,0.0,14,2001.0,47.318,-122.253,245.264,791.255,0
6,518500.0,3,3.5,147.716,102.379,3.0,0.0,0.0,3,8,484.632,0.0,2010,0.0,98103,0.0,5,2010.0,47.682,-122.347,150.503,294.131,0
6,205425.0,2,1.0,81.755,629.882,1.0,0.0,0.0,4,6,268.224,0.0,1945,0.0,98178,0.0,70,1945.0,47.501,-122.248,110.555,629.882,0
1,171800.0,4,2.0,145.858,891.869,1.0,0.0,0.0,3,6,478.536,0.0,1950,0.0,98168,0.0,65,1950.0,47.496,-122.303,174.658,836.127,0
5,535000.0,4,1.0,149.574,277.037,1.5,0.0,0.0,4,7,490.728,0.0,1925,0.0,98144,0.0,90,1925.0,47.587,-122.294,149.574,375.328,0
1,660000.0,3,2.5,222.967,601.454,1.0,0.0,2.0,3,8,475.488,256.032,1964,0.0,98177,0.0,51,1964.0,47.773,-122.386,217.393,1008.555,0
11,391500.0,3,2.0,134.709,848.39,1.0,0.0,0.0,3,7,441.96,0.0,1987,0.0,98034,0.0,28,1987.0,47.729,-122.226,146.787,845.789,0
4,395000.0,2,1.0,71.535,557.418,1.0,0.0,0.0,3,6,234.696,0.0,1953,0.0,98117,0.0,62,1953.0,47.7,-122.364,158.864,557.418,0
11,445000.0,4,1.75,195.096,408.773,1.5,0.0,0.0,5,7,524.256,115.824,1924,0.0,98118,0.0,91,1924.0,47.53,-122.266,171.871,408.773,0
6,770000.0,3,2.25,270.348,947.982,2.0,0.0,0.0,3,9,886.968,0.0,1990,0.0,98052,0.0,25,1990.0,47.69,-122.098,250.838,1299.899,0
3,1450000.0,4,2.75,255.483,1652.651,1.5,0.0,0.0,3,8,603.504,234.696,1914,1992.0,98004,23.0,101,-78.0,47.614,-122.212,284.283,1047.481,1
7,445000.0,3,2.25,195.096,761.898,1.0,0.0,2.0,3,8,493.776,146.304,1967,0.0,98178,0.0,48,1967.0,47.509,-122.244,247.122,809.371,0
7,260000.0,4,2.25,200.67,818.568,1.0,0.0,0.0,3,8,414.528,243.84,1978,0.0,98023,0.0,37,1978.0,47.313,-122.39,194.167,780.385,0
6,822500.0,5,3.5,215.535,460.799,2.0,0.0,0.0,5,7,524.256,182.88,1926,0.0,98103,0.0,89,1926.0,47.676,-122.352,157.935,460.799,0
4,430000.0,4,2.5,192.309,400.412,2.0,0.0,0.0,3,7,630.936,0.0,2004,0.0,98065,0.0,11,2004.0,47.532,-121.85,183.019,348.2,0
1,212000.0,3,1.75,98.477,731.611,1.0,0.0,0.0,4,7,323.088,0.0,1986,0.0,98092,0.0,29,1986.0,47.276,-122.152,131.922,713.495,0
4,660500.0,4,2.25,186.735,892.148,1.0,0.0,0.0,3,8,438.912,173.736,1986,0.0,98027,0.0,29,1986.0,47.534,-122.054,191.38,909.799,0
6,784000.0,3,3.5,366.967,10319.479,1.5,0.0,0.0,3,9,749.808,454.152,1989,0.0,98052,0.0,26,1989.0,47.697,-122.072,230.399,8221.915,0
5,453246.0,3,2.5,186.735,212.469,2.0,0.0,0.0,3,8,423.672,188.976,2014,0.0,98029,0.0,1,2014.0,47.552,-121.998,157.006,154.405,0
1,675000.0,4,3.5,198.812,211.633,3.0,0.0,0.0,3,9,652.272,0.0,2005,0.0,98107,0.0,10,2005.0,47.673,-122.38,143.071,212.283,0
8,199000.0,3,1.75,122.632,1615.583,1.0,0.0,0.0,4,7,402.336,0.0,1956,0.0,98003,0.0,59,1956.0,47.326,-122.296,144.0,1789.776,0
8,220000.0,4,1.75,187.664,728.36,1.0,0.0,0.0,3,7,307.848,307.848,1968,0.0,98003,0.0,47,1968.0,47.331,-122.299,162.58,756.23,0
5,452000.0,4,2.25,240.619,929.216,1.0,0.0,0.0,4,8,408.432,381.0,1968,0.0,98028,0.0,47,1968.0,47.769,-122.266,144.0,969.536,0
7,382500.0,2,1.0,110.555,412.489,1.0,0.0,0.0,3,6,362.712,0.0,1981,0.0,98125,0.0,34,1981.0,47.714,-122.287,98.477,530.941,0
5,519950.0,3,2.25,108.697,116.036,3.0,0.0,0.0,3,8,356.616,0.0,2014,0.0,98107,0.0,1,2014.0,47.672,-122.381,125.419,121.703,0
6,665000.0,2,1.0,103.122,297.29,1.0,0.0,0.0,3,7,338.328,0.0,1925,0.0,98119,0.0,90,1925.0,47.634,-122.358,108.697,334.451,0
7,527700.0,5,2.5,261.986,870.966,1.0,0.0,0.0,4,8,472.44,387.096,1968,0.0,98006,0.0,47,1968.0,47.571,-122.128,261.986,870.966,0
5,205000.0,3,1.0,149.574,797.015,1.0,0.0,0.0,4,7,307.848,182.88,1962,0.0,98058,0.0,53,1962.0,47.456,-122.171,149.574,797.015,0
4,420000.0,3,1.0,98.477,752.236,1.0,0.0,0.0,4,7,286.512,36.576,1923,0.0,98133,0.0,92,1923.0,47.714,-122.351,144.929,737.65,0
2,500000.0,4,2.25,188.593,791.255,1.0,0.0,0.0,4,8,420.624,198.12,1961,0.0,98006,0.0,54,1961.0,47.55,-122.174,207.174,819.776,0
6,890000.0,4,1.0,236.903,371.612,2.0,0.0,0.0,3,8,722.376,54.864,1905,0.0,98109,0.0,110,1905.0,47.635,-122.353,204.387,371.612,0
10,258000.0,5,2.0,209.961,1161.288,1.0,0.0,0.0,4,8,344.424,344.424,1960,0.0,98032,0.0,55,1960.0,47.389,-122.286,126.348,1672.254,0
11,511000.0,3,1.0,132.851,320.98,1.0,0.0,0.0,3,7,298.704,137.16,1947,0.0,98103,0.0,68,1947.0,47.687,-122.336,134.709,427.261,0
8,532170.0,3,2.0,126.348,287.07,2.0,0.0,0.0,3,8,414.528,0.0,1990,0.0,98103,0.0,25,1990.0,47.684,-122.353,139.354,287.07,0
4,560000.0,3,1.0,103.122,464.515,1.5,0.0,0.0,3,7,338.328,0.0,1947,0.0,98107,0.0,68,1947.0,47.655,-122.359,131.922,464.515,0
3,282950.0,3,1.0,116.129,761.805,1.0,0.0,0.0,4,7,381.0,0.0,1954,0.0,98003,0.0,61,1954.0,47.326,-122.304,156.077,802.032,0
5,350000.0,1,1.0,65.032,473.805,1.0,0.0,0.0,3,7,213.36,0.0,1942,0.0,98115,0.0,73,1942.0,47.679,-122.3,93.832,473.805,0
7,215000.0,3,1.0,109.626,712.473,1.0,0.0,0.0,4,7,359.664,0.0,1967,0.0,98058,0.0,48,1967.0,47.448,-122.176,110.555,712.473,0
11,650000.0,5,3.5,367.896,2345.336,2.0,0.0,0.0,3,9,762.0,445.008,1996,0.0,98056,0.0,19,1996.0,47.525,-122.172,245.264,1270.449,0
8,320000.0,4,2.75,245.264,696.772,1.0,0.0,0.0,3,8,493.776,310.896,1967,0.0,98023,0.0,48,1967.0,47.314,-122.369,183.948,731.611,0
11,247000.0,3,2.0,117.987,668.716,1.5,0.0,0.0,3,7,387.096,0.0,1916,2013.0,98022,2.0,99,-97.0,47.209,-121.996,107.767,668.716,1
10,320000.0,4,1.75,163.509,1038.656,1.0,0.0,0.0,4,8,536.448,0.0,1968,0.0,98059,0.0,47,1968.0,47.472,-122.118,160.722,1038.656,0
5,255000.0,5,2.25,191.38,801.939,1.0,0.0,0.0,3,7,313.944,313.944,1962,0.0,98146,0.0,53,1962.0,47.488,-122.335,93.832,1085.107,0
3,438000.0,3,1.75,165.367,897.443,1.0,0.0,0.0,3,7,542.544,0.0,1962,0.0,98034,0.0,53,1962.0,47.717,-122.193,111.484,897.443,0
3,900000.0,3,2.5,315.87,1542.469,2.0,0.0,0.0,3,10,1036.32,0.0,2000,0.0,98075,0.0,15,2000.0,47.601,-122.023,315.87,1170.671,0
6,441000.0,3,2.75,177.445,676.334,1.0,0.0,0.0,3,7,353.568,228.6,1979,0.0,98034,0.0,36,1979.0,47.732,-122.224,158.864,757.345,0
8,420000.0,3,2.0,187.664,3561.158,1.0,0.0,0.0,4,7,307.848,307.848,1975,0.0,98027,0.0,40,1975.0,47.458,-122.023,196.025,3399.321,0
12,370000.0,3,1.75,146.787,650.321,1.0,0.0,0.0,3,7,359.664,121.92,1976,0.0,98034,0.0,39,1976.0,47.721,-122.168,152.361,696.772,0
2,269950.0,2,1.75,124.49,673.547,1.0,0.0,0.0,5,5,213.36,195.072,1949,0.0,98198,0.0,66,1949.0,47.408,-122.327,170.012,905.804,0
3,807100.0,4,2.5,248.98,417.971,2.0,0.0,0.0,3,9,816.864,0.0,1999,0.0,98006,0.0,16,1999.0,47.565,-122.125,271.277,418.064,0
6,653000.0,3,2.5,248.98,905.804,1.0,0.0,0.0,4,8,490.728,326.136,1979,0.0,98034,0.0,36,1979.0,47.703,-122.231,230.399,812.901,0
6,371500.0,3,2.0,127.277,774.439,1.0,0.0,0.0,5,7,417.576,0.0,1964,0.0,98133,0.0,51,1964.0,47.746,-122.331,164.438,677.077,0
3,284000.0,3,1.75,144.929,1950.963,1.0,0.0,0.0,3,7,475.488,0.0,1954,0.0,98166,0.0,61,1954.0,47.478,-122.337,99.406,735.792,0
1,272000.0,3,1.75,200.67,663.327,1.0,0.0,0.0,4,7,509.016,149.352,1978,0.0,98023,0.0,37,1978.0,47.303,-122.374,179.303,682.837,0
5,313000.0,3,1.5,124.49,735.049,1.5,0.0,0.0,3,7,408.432,0.0,1955,0.0,98133,0.0,60,1955.0,47.766,-122.339,137.496,737.65,0
1,917500.0,4,2.5,360.464,3251.884,2.0,0.0,0.0,3,10,783.336,399.288,1984,0.0,98033,0.0,31,1984.0,47.648,-122.182,347.457,3272.973,0
9,673000.0,4,2.25,240.619,760.876,2.0,0.0,0.0,4,8,789.432,0.0,1980,0.0,98006,0.0,35,1980.0,47.562,-122.125,209.961,774.347,0
2,425000.0,3,2.5,104.051,102.193,2.0,0.0,0.0,3,8,249.936,91.44,2008,0.0,98122,0.0,7,2008.0,47.611,-122.31,147.716,166.761,0
7,399950.0,5,2.75,183.019,501.676,1.0,0.0,0.0,3,7,402.336,198.12,1986,0.0,98144,0.0,29,1986.0,47.587,-122.308,118.916,199.741,0
5,385000.0,3,1.0,113.342,445.934,1.0,0.0,0.0,3,6,371.856,0.0,1901,0.0,98122,0.0,114,1901.0,47.61,-122.307,111.484,445.934,0
11,269950.0,3,1.5,181.161,702.347,1.0,0.0,2.0,4,7,402.336,192.024,1975,0.0,98022,0.0,40,1975.0,47.198,-121.999,181.161,830.646,0
1,330000.0,2,1.0,125.419,763.663,1.0,0.0,0.0,3,7,323.088,88.392,1949,0.0,98177,0.0,66,1949.0,47.722,-122.358,143.071,769.237,0
